,,Accuracy,MACC
TOT,BaseLSTM,0.5254237288135594,0.05703867240707723
TSM,BaseRNN,0.5254237288135594,0.1302878414515109
TSM,BaseLSTM,0.5254237288135594,0.10646695683025933
UL,BaseRNN,0.5084745762711864,0.05570860145311556
UL,BaseLSTM,0.5254237288135594,0.04796209937446998
UN,BaseRNN,0.5423728813559322,0.12163926069210197
UN,BaseLSTM,0.576271186440678,0.22724676513417622
UNH,BaseRNN,0.5254237288135594,0.06369696339435807
UNH,BaseLSTM,0.559322033898305,0.19350601611110488
UPS,BaseRNN,0.5084745762711864,0.0031753232842131177
UPS,BaseLSTM,0.5084745762711864,0.0
UTX,BaseRNN,0.4915254237288136,-0.040049364588612434
UTX,BaseLSTM,0.4406779661016949,-0.17337145565694775
V,BaseRNN,0.5254237288135594,0.10646695683025933
V,BaseLSTM,0.576271186440678,0.22854417370803312
VZ,BaseRNN,0.4745762711864407,0.0
VZ,BaseLSTM,0.4745762711864407,0.0
WFC,BaseRNN,0.5084745762711864,0.051387023098543955
WFC,BaseLSTM,0.5932203389830508,0.25955604739286214
WMT,BaseRNN,0.4576271186440678,-0.0960316402397931
WMT,BaseLSTM,0.5254237288135594,0.10635445160305
XOM,BaseRNN,0.5254237288135594,-0.05239477363283321
XOM,BaseLSTM,0.576271186440678,0.1479300142792815
