,,Accuracy,MACC
PFE,StockLSTM,0.576271186440678,0.10896781451996423
PFE,StockSentimentRNN,0.4915254237288136,-0.006968683416725757
PG,StockRNN,0.4067796610169492,-0.16685595311797866
PG,StockLSTM,0.5254237288135594,0.06808187051979717
PG,StockSentimentRNN,0.5254237288135594,0.0828332573789972
PICO,StockRNN,0.559322033898305,0.10818320652325043
PICO,StockLSTM,0.5084745762711864,-0.04544445884145159
PICO,StockSentimentRNN,0.5084745762711864,0.002403082536616032
PM,StockRNN,0.5084745762711864,0.10584754935143138
PM,StockLSTM,0.4576271186440678,0.0
PM,StockSentimentRNN,0.4745762711864407,0.03519736631249669
PPL,StockRNN,0.559322033898305,0.12714870724077634
PPL,StockLSTM,0.4915254237288136,0.0
PPL,StockSentimentRNN,0.559322033898305,0.13603125058958104
PTR,StockRNN,0.4745762711864407,0.05239477363283321
PTR,StockLSTM,0.4406779661016949,0.0
PTR,StockSentimentRNN,0.4915254237288136,0.09173286442120084
RDS-B,StockRNN,0.4067796610169492,-0.1463300512966626
RDS-B,StockLSTM,0.4067796610169492,-0.10584754935143138
RDS-B,StockSentimentRNN,0.4067796610169492,-0.1358957080545352
REX,StockRNN,0.5423728813559322,0.08305371808399224
REX,StockLSTM,0.5254237288135594,0.048006375670061587
REX,StockSentimentRNN,0.5423728813559322,0.08305371808399224
SLB,StockRNN,0.3728813559322034,-0.2264703677120213
SLB,StockLSTM,0.4406779661016949,-0.03222352531629848
SLB,StockSentimentRNN,0.4406779661016949,-0.13008209044554747
SNP,StockRNN,0.5084745762711864,0.009455143815519592
SNP,StockLSTM,0.4745762711864407,-0.08270582411605847
SNP,StockSentimentRNN,0.4915254237288136,-0.12909944487358058
SNY,StockRNN,0.4067796610169492,-0.12343053667320328
SNY,StockLSTM,0.3898305084745763,-0.17806145667420892
SNY,StockSentimentRNN,0.4406779661016949,-0.06033082847700966
SO,StockRNN,0.4745762711864407,-0.13730476750355963
SO,StockLSTM,0.4915254237288136,-0.14628495133650038
