,,Accuracy,MACC
SPLP,StockRNN,0.5423728813559322,0.14009661835748793
SPLP,StockLSTM,0.6440677966101694,0.21596243567097836
SPLP,StockSentimentRNN,0.5254237288135594,0.06369696339435807
SRE,StockRNN,0.4915254237288136,0.14751385842355658
SRE,StockLSTM,0.4406779661016949,0.0
SRE,StockSentimentRNN,0.4406779661016949,-0.03222352531629848
T,StockRNN,0.4576271186440678,-0.051881067197057526
T,StockLSTM,0.4745762711864407,0.011226255234242723
T,StockSentimentRNN,0.4576271186440678,-0.02861678415597688
TM,StockRNN,0.5084745762711864,0.051387023098543955
TM,StockLSTM,0.4915254237288136,0.01920288709499514
TM,StockSentimentRNN,0.5084745762711864,0.0789783240859887
TOT,StockRNN,0.7457627118644068,0.443717368159232
TOT,StockLSTM,0.5932203389830508,0.025334348486941296
TOT,StockSentimentRNN,0.6271186440677966,0.2673687769081745
TSM,StockRNN,0.6271186440677966,0.328343677253132
TSM,StockLSTM,0.5423728813559322,0.17744221203584956
TSM,StockSentimentRNN,0.559322033898305,0.2186375006335683
UL,StockRNN,0.559322033898305,0.13869195372681675
UL,StockLSTM,0.4915254237288136,-0.07323922906700686
UL,StockSentimentRNN,0.4915254237288136,-0.016110482473596893
UN,StockRNN,0.6101694915254238,0.22350230414746544
UN,StockLSTM,0.5932203389830508,0.18035210484058706
UN,StockSentimentRNN,0.4915254237288136,-0.051387023098543955
UNH,StockRNN,0.4576271186440678,-0.07549269735627623
UNH,StockLSTM,0.5084745762711864,0.05859822245598255
UNH,StockSentimentRNN,0.4576271186440678,-0.07549269735627623
UPS,StockRNN,0.559322033898305,0.13869195372681675
UPS,StockLSTM,0.5084745762711864,0.01845455107860888
UPS,StockSentimentRNN,0.5084745762711864,0.01213928401215383
UTX,StockRNN,0.4576271186440678,-0.003218696997235117
UTX,StockLSTM,0.4406779661016949,-0.022382158682236544
UTX,StockSentimentRNN,0.423728813559322,-0.09817025841567108
V,StockRNN,0.5254237288135594,0.09231515041269134
V,StockLSTM,0.4406779661016949,-0.1913441299463057
V,StockSentimentRNN,0.5423728813559322,0.10689402363276093
VZ,StockRNN,0.6101694915254238,0.24225180642916946
VZ,StockLSTM,0.576271186440678,0.1448091094988785
VZ,StockSentimentRNN,0.5084745762711864,-0.12479126063921447
WFC,StockRNN,0.4915254237288136,0.0012312134219620893
WFC,StockLSTM,0.559322033898305,0.1465143972134886
WFC,StockSentimentRNN,0.5254237288135594,0.06369696339435807
WMT,StockRNN,0.5423728813559322,0.0960316402397931
WMT,StockLSTM,0.4576271186440678,-0.17812132666201708
WMT,StockSentimentRNN,0.4576271186440678,-0.06880220170568244
XOM,StockRNN,0.5254237288135594,-0.10357561708810227
XOM,StockLSTM,0.5084745762711864,-0.14751385842355658
XOM,StockSentimentRNN,0.4915254237288136,-0.18570112311565745
